Produto,2018_11,2018_12,2019_1,2019_2,2019_3,2019_4,2019_5,2019_6,2019_7,2019_8,2019_9,2019_10,2019_11,2019_12,2020_1,2020_2,2020_3,Total
HARUMAKI NUT BANANA,0.0,3.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,2.0,4.0,1.0,1.0,0.0,21.0
HARUMAKI SALMAO PÇ,0.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,20.0
HATTORI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,2.0,7.0,3.0,25.0
HOT FILADELFIA HOSSOM,0.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,11.0,14.0,1.0,12.0,4.0,53.0
KANI KAMA HOSSOMAKI,0.0,5.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0
KAPPAMAKI HOSSOM,1.0,30.0,17.0,6.0,4.0,4.0,7.0,5.0,4.0,2.0,3.0,4.0,2.0,0.0,0.0,0.0,1.0,90.0
KASATO MARU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,7.0
KATANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIWI,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
KODOMO,3.0,34.0,19.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,0.0,79.0
LAR. C/ MORANGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,9.0,6.0,0.0,26.0
LIBERDADE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,10.0
LIMAO,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
LIMONADA SUIÇA,2.0,19.0,8.0,9.0,3.0,4.0,8.0,7.0,10.0,9.0,12.0,2.0,4.0,4.0,7.0,4.0,5.0,117.0
LONG NECK,22.0,159.0,185.0,192.0,56.0,105.0,194.0,162.0,112.0,116.0,94.0,165.0,138.0,81.0,93.0,105.0,34.0,2013.0
MANGA,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
MARACUJA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MILLAMAN ESTATE CARMENERE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MISSOSHIRO,0.0,10.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,4.0,1.0,11.0,0.0,38.0
MISTO,0.0,14.0,8.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
MITSU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,3.0,1.0,0.0,15.0
MORANGO,2.0,21.0,13.0,23.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,74.0
NIG ATUM UN,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
NIG CAMARAO PÇ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NIG CAMARAO UN,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
NIG PB SELADO PÇ,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
NIG PB SELADO UN,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
